sender_account,receiver_account,is_fraud,time_since_last_transaction,spending_deviation_score,velocity_score,geo_anomaly_score,amount_ngn,txn_hour,is_weekend,is_salary_week,is_night_txn,device_seen_count,is_device_shared,ip_seen_count,is_ip_shared,user_txn_count_total,user_avg_txn_amt,user_std_txn_amt,user_txn_frequency_24h,txn_count_last_1h,txn_count_last_24h,total_amount_last_1h,time_since_last,avg_gap_between_txns,merchant_fraud_rate,channel_risk_score,persona_fraud_risk,location_fraud_risk
6108716212,9101768203,0,-4106.8271432525,0.87,8,0.53,520245.06,12,0,0,0,2,1,15,1,8,142754.0275,251927.79709760295,4,4,4,571016.11,123991.93899126668,64367.289827775,0.0361303062998092,0.8,0.4,0.0359898081959091
2487339381,3554749331,0,890.6888338866667,0.25,15,0.84,155794.61,17,0,1,0,1,0,41,1,13,112156.9325,122356.2030835719,4,4,4,448627.73,48234.9300332,26736.557359725,0.0360001164110474,0.6,0.5,0.0356975105683419
7881327398,1502283493,0,-3679.404387479722,-1.0,16,0.89,8163.1,13,0,1,0,2,1,18,1,11,30402.422,27612.317649169185,5,5,5,152012.11,35933.28051236667,26461.465402866663,0.0354086213933628,0.6,0.5,0.0356487356707604
5263259426,4355325389,0,5186.123543385834,-0.47,10,0.09,8866.91,15,0,0,0,4,1,40,1,3,152925.06666666668,250693.58374550403,3,3,3,458775.2,192388.44421843332,99263.0764232722,0.0353009650915686,0.6,0.5,0.0359674777478213
1340329362,9270248227,0,2727.0829055383338,1.08,10,0.1,916646.04,13,1,1,0,1,0,19,1,3,738275.3300000001,609604.7441064327,3,3,3,2214825.99,138817.95766563332,79724.21743985555,0.0363781646900496,0.4,0.7,0.0357770324229356
4644767517,7694739513,0,5458.340026552777,-0.47,19,0.42,7704.66,11,0,1,0,2,1,4,1,2,56142.630000000005,68501.63410782111,2,2,2,112285.26,306551.0349265,153275.51746325,0.0365863762798129,0.4,0.5,0.0360299183639076
2025513429,6494659634,0,1617.5309030705555,1.7,10,0.54,4225511.88,13,0,1,0,1,0,18,1,11,2306480.785,2845329.3874587747,8,8,8,18451846.28,56104.15104646666,40948.170224279165,0.0358414834077675,0.8,0.7,0.0374798401234135
5145366570,9709411845,0,2368.823963383333,-0.61,5,0.15,119883.9,13,1,0,0,2,1,32,1,5,195337.82666666663,99525.35365676443,3,3,3,586013.48,110732.39593355,50551.90704544445,0.0354444306057209,0.3,0.5,0.0354006361152948
3776717463,3851063782,0,1486.1614379733332,0.23,12,0.35,920200.51,16,1,0,0,1,0,310,1,7,266756.7085714285,317142.8560651416,7,7,7,1867296.96,31987.606309283336,33776.56229709286,0.0355792475051137,0.6,0.5,0.0367670014048597
8037489198,5403764625,0,-192.4651302980556,0.69,5,0.54,60644.1,5,0,0,0,2,1,5,1,6,494085.585,717410.9266337618,6,6,6,2964513.51,4031.4588487833335,81783.73809071387,0.0349007962406996,0.6,0.7,0.0360765535583927
6250965210,4270331087,0,2215.108897235556,-0.12,19,0.61,110560.49,10,0,1,0,1,0,7,1,4,60335.115000000005,71029.40650027459,2,2,2,120670.23,157632.3505008,78816.1752504,0.0357960297548307,0.3,0.5,0.0355643031166603
3838857003,5366389395,0,3090.4186373141665,-0.01,18,0.89,1917309.06,17,0,0,0,2,1,25,1,5,1317677.962,1438205.432093949,5,5,5,6588389.8100000005,170956.81823885,42366.18584937333,0.0355530645014693,0.3,0.7,0.0358579130986362
2027511805,3519639251,0,-3442.1588471633336,0.25,14,0.03,17612.07,17,0,0,0,1,0,5,1,7,17612.07,0.0,1,1,1,17612.07,0.0,0.0,0.0378758078111829,0.4,0.7,0.0366924341529959
8622032082,6935830480,0,-6562.691681308055,-1.39,8,0.2,218451.07,7,0,0,0,3,1,336,1,5,297460.45,111736.13675068958,2,2,2,594920.9,25679.899694733333,12839.949847366666,0.0364601368035648,0.6,0.4,0.0360028643476164
6589570520,1350977574,0,-4661.7965864377775,-0.72,17,0.88,1562696.12,13,0,0,0,1,0,5,1,6,1562696.12,0.0,1,1,1,1562696.12,0.0,0.0,0.0368252196959129,0.3,0.7,0.0361381491815715
6108194503,7764215925,0,-1246.2323788297224,-1.29,7,0.52,502814.54,0,0,0,0,2,1,39,1,11,544432.415,489979.66982080886,4,4,4,2177729.66,11548.635592216666,39861.89822602084,0.036130593593155,0.3,0.4,0.035727389469822
4721473372,5645802342,0,-2963.976705140833,0.48,16,0.58,959368.07,17,0,0,0,2,1,43,1,6,483507.4225,428470.7169584535,4,4,4,1934029.69,36447.51708625,28137.665313575,0.0362404800636787,0.4,0.4,0.0364596417322073
5188753317,4471948427,0,-124.6880454261111,-0.48,11,0.49,28437.78,16,1,0,0,2,1,30,1,6,480177.248,943683.2255063556,5,5,5,2400886.24,1670.5839411000002,64118.45066663667,0.0365721816665465,0.3,0.4,0.0354103596544789
6621562637,3022042727,0,-2158.7676546094444,2.87,4,0.64,102393.61,10,0,0,0,1,0,39,1,7,611969.6425,862710.5220400337,4,4,4,2447878.57,127074.1788261,50779.630342150005,0.0367209026676723,0.3,0.4,0.0355359765051395
7709051312,9170448038,0,-2813.8203047675,1.5,12,0.22,85260.99,13,0,0,0,1,0,330,1,5,99906.31,20711.61016929393,2,2,2,199812.62,71999.62445061667,35999.812225308335,0.0358625686181625,0.3,0.4,0.0359771186600068
8917468329,5255773718,0,-3023.764398625,-1.07,17,0.27,6600.68,12,0,1,0,2,1,5,1,8,8341.34,2461.664979480352,2,2,2,16682.68,102750.76219268334,51375.38109634167,0.036151021232245,0.8,0.5,0.036011099233516
3240784269,1690906744,0,-5378.8340376713895,-0.13,5,0.3,583140.38,4,1,0,0,2,1,27,1,8,583140.38,0.0,1,1,1,583140.38,0.0,0.0,0.0360839636816623,0.4,0.5,0.0356543051147093
5712497298,7573057218,0,-1782.3583562736112,2.06,11,0.14,45635.46,6,0,0,0,1,0,53,1,7,326683.84,664919.4912678768,5,5,5,1633419.2,108275.95056418332,57506.68612577666,0.0355236702613781,0.6,0.4,0.0356174546177643
9521110003,7414342866,0,-4278.071136222778,1.49,3,0.38,43667.46,12,0,0,0,1,0,25,1,7,43667.46,0.0,1,1,1,43667.46,0.0,0.0,0.0359511874018937,0.3,0.5,0.0354408899901435
2641979604,2142988034,0,2528.610103456389,-0.43,20,0.55,670649.07,17,0,1,0,1,0,23,1,11,2736166.286,3373346.183392908,5,5,5,13680831.43,86473.35748416667,34933.87334979667,0.0382130330441203,0.8,0.7,0.0356402592018851
2196529288,2932093537,0,401.9754373419445,1.82,14,0.49,42593.35,21,0,1,0,1,0,7,1,9,472056.62,806608.3995700253,4,4,4,1888226.48,1282.5262405166666,22038.138114108333,0.0356987847222222,0.6,0.7,0.0374913144617987
4246460512,2375627338,0,5206.047965107222,0.4,1,0.17,210496.13,16,0,1,0,1,0,2,1,5,1141637.8220000002,1203960.7251331815,5,5,5,5708189.11,59339.74466853333,63106.25891462,0.0355443268099668,0.4,0.7,0.036235947258848
6062305596,4136905964,0,-4278.538527686111,-0.38,13,0.98,34900.19,9,0,0,0,1,0,327,1,7,839915.2033333333,1303768.6143066415,3,3,3,2519745.61,15697.174557266666,36341.025406433335,0.0357954610350302,0.8,0.4,0.0360018711545809
4768965892,7920768032,0,-1048.4869920225,0.42,11,0.99,462196.44,8,0,0,0,1,0,17,1,8,289676.5616666667,239713.06512932328,6,6,6,1738059.37,15222.848684666667,55503.402529725,0.0362240469991321,0.6,0.4,0.0353931464056135
